source,target,exposure
KR,5A,1025.515
CO,5A,78.344
AU,5A,18291.29
5J,NL,30401.258
GH,5A,2105.04
CN,5A,682.74
AT,5A,9649.327
5J,5A,58986.753
DK,GR,4.84
KY,5A,86784.482
AZ,5A,2.0
5J,BR,4133.871
5J,BR,4037.609
KW,5A,144.422
CR,5A,59.805
1C,5A,59.837
CI,5A,153.933
KE,5A,18.292
GB,5A,718.26
CH,5A,11895.429
AM,5A,26.933
ES,GR,9.773
KN,5A,0.038
CM,5A,62.399
AR,5A,74.651
EE,GR,0.053
GE,5A,1170.532
CL,5A,83.743
AO,5A,11.19
5J,BR,96.262
CD,5A,37.664
JE,5A,24800.452
CA,5A,688.499
AE,5A,1524.404
CY,GR,1740.239
JP,5A,8459.636
GA,5A,657.892
CG,5A,63.892
AL,5A,42.253
FR,5A,5737.36
CF,5A,1.106
DE,GR,3593.018
IR,5A,30.615
ET,5A,221.764
BY,5A,13.76
5M,5A,16896.841
ES,5A,1864.925
BT,5A,0.001
5K,5A,2217813.786
CZ,GR,1.89
IT,5A,167820.385
AD,5A,220.053
5J,IT,689.365
IS,5A,17.349
FI,5A,443.171
BZ,5A,3.015
5R,5A,2355428.967
5J,IT,621.358
IL,5A,56.04
EC,5A,13.869
BQ,5A,9.326
IE,5A,60162.439
DZ,5A,12.601
BO,5A,6.728
IN,5A,604.656
EG,5A,7310.309
BS,5A,97.573
IM,5A,69.998
BR,5A,730.525
1C,GR,31.796
HR,5A,2186.404
BI,5A,2.819
DE,5A,3529.675
BH,5A,129.374
5J,GR,15396.281
ID,5A,18.617
DO,5A,443.631
BN,5A,6.778
HU,5A,727.418
DM,5A,3.0
BM,5A,29.962
DK,5A,1.0
BJ,5A,13.529
GT,5A,1.0
CY,5A,1.0
BE,5A,17848.733
4W,5A,17490.549
GR,5A,813.233
BD,5A,3.319
4U,5A,1926.893
HK,5A,9557.168
BG,5A,127.909
5C,5A,1782045.943
CZ,5A,4.9
BF,5A,15.118
4Y,5A,72039.434
AZ,5A,9.954
CR,5A,298.0
AW,5A,11.136
GQ,5A,0.002
CV,5A,491.078
BB,5A,38.07
CU,5A,123.0
BA,5A,12.115
4T,5A,139261.32
GG,5A,5220.537
CM,5A,1749.029
AR,5A,113.974
GE,5A,1.485
CL,5A,1.0
AO,5A,656.399
GI,5A,67.418
CO,5A,2822.001
AU,5A,455.967
CN,5A,3061.575
AT,5A,4290.419
IE,GR,2084.15
CG,5A,277.682
AL,5A,9.589
FR,5A,85252.612
AI,5A,0.075
GD,5A,99.595
CI,5A,5467.773
GB,5A,183790.733
CH,5A,30.098
AM,5A,22.021
AD,5A,209.716
4L,5A,137609.038
FI,5A,3172.313
BZ,5A,0.001
5R,5A,123291.864
CD,5A,5.002
AF,5A,2.124
CA,5A,321.003
AE,5A,3531.532
EG,5A,58.027
BS,5A,360.0
HU,GR,0.231
EE,5A,72.989
BR,5A,1554.0
5M,5A,10.327
HR,GR,6.394
ES,5A,11996.756
BT,5A,5.308
5K,5A,115183.143
DO,5A,18.0
BO,5A,723.484
5J,NL,107835.173
5J,NL,77433.918
BG,5A,0.184
5C,5A,85563.876
CZ,5A,1020.467
BF,5A,324.372
4Y,5A,4108.462
DK,5A,4024.273
BJ,5A,1909.635
3C,5A,47804.444
DE,5A,83099.131
CU,5A,7.491
BA,5A,136.452
4T,5A,19290.142
5J,IT,23272.704
5J,IT,21961.981
CY,5A,3254.177
BE,5A,2718.999
4W,5A,9403.915
CW,5A,196.95
BD,5A,1025.909
4U,5A,2645.718
FI,GR,0.281
CO,5A,213.079
AU,5A,1.188
GB,GR,1637.337
CN,5A,5513.228
AT,5A,6928.651
AZ,5A,281.01
FR,GR,619.6
CR,5A,1.28
AW,5A,0.611
CI,5A,287.97
2R,5A,6.143
CH,5A,5160.848
AM,5A,378.666
AR,5A,300.25
CL,5A,56.809
AO,5A,3966.122
CA,5A,18958.89
AE,5A,172.0
AL,5A,447.524
BY,5A,36.704
5M,5A,1059.096
LT,GR,0.073
5K,5A,44187.795
AD,5A,0.001
4L,5A,8108.721
BZ,5A,53.408
5R,5A,47304.064
LU,GR,1983.137
BS,5A,830.308
BR,5A,585.283
3C,5A,3132.047
BI,5A,8.302
BH,5A,0.18
BN,5A,0.01
BM,5A,2488.932
BE,5A,10768.404
4W,5A,58885.258
BD,5A,2.01
4U,5A,9349.122
BG,5A,413.042
5C,5A,43153.643
4Y,5A,20767.16
AZ,5A,15.0
AW,5A,0.898
2W,5A,0.01
BB,5A,33.78
2Z,5A,289.974
2B,5A,274.575
